make,model_year,horsepower,mpg
Audi,2009 Audi A3,250,43
Audi,2009 Audi A3,200,50
Audi,2009 Audi A3,200,51
Audi,2009 Audi A3,200,49
Audi,2009 Audi A3,200,49
Audi,2009 Audi A5,265,43
Audi,2009 Audi A5,265,43
Audi,2009 Audi Q7,350,31
Audi,2009 Audi Q7,280,34
Audi,2009 Audi A4 Sedan,211,52
Audi,2009 Audi A4 Sedan,211,48
Audi,2009 Audi A4 Sedan,265,43
Acura,2012 Acura TL,280,49
Acura,2012 Acura TL,305,44
BMW,2010 BMW X5,555,29
BMW,2011 BMW X5,555,29
BMW,2010 BMW X6,555,29
BMW,2011 BMW X6,555,29
Chevrolet,2012 Chevrolet Colorado,185,43
Chevrolet,2012 Chevrolet Colorado,185,43
Chevrolet,2012 Chevrolet Colorado,185,43
Chevrolet,2011 Chevrolet Colorado,185,43
Chevrolet,2011 Chevrolet Colorado,185,43
Chevrolet,2011 Chevrolet Colorado,185,43
Chevrolet,2010 Chevrolet Colorado,185,43
Chevrolet,2010 Chevrolet Colorado,185,46
Chevrolet,2010 Chevrolet Colorado,185,43
Chevrolet,2012 Chevrolet Express,310,31
Chevrolet,2012 Chevrolet Express,310,21
Chevrolet,2011 Chevrolet Express,310,30
Chevrolet,2011 Chevrolet Express,310,30
Chevrolet,2011 Chevrolet Express,280,20
Chevrolet,2011 Chevrolet Express,324,20
Chevrolet,2010 Chevrolet Express,310,23
Chevrolet,2010 Chevrolet Express,310,30
Chevrolet,2011 Chevrolet Silverado 1500,195,35
Chevrolet,2011 Chevrolet Silverado 1500,302,33
Chevrolet,2011 Chevrolet Silverado 1500,195,35
Chevrolet,2010 Chevrolet Silverado 1500,195,35
Chevrolet,2010 Chevrolet Silverado 1500,195,35
Chevrolet,2010 Chevrolet Silverado 1500,302,33
Nissan,2011 Nissan 370Z Coupe,350,44
Nissan,2010 Nissan 370Z Coupe,350,44
Nissan,2009 Nissan 370Z Coupe,350,44
Volvo,2011 Volvo C30,227,50
Volvo,2011 Volvo C30,227,51
Volvo,2010 Volvo C30,227,51
Volvo,2010 Volvo C30,227,50
Bentley,2010 Bentley Brooklands,530,24
Bentley,2012 Bentley Continental Supersports Convertible,621,22
Bentley,2012 Bentley Continental Supersports Coupe,621,22
Bentley,2011 Bentley Continental Supersports Convertible,621,22
Bentley,2010 Bentley Continental Supersports,621,31
Bentley,2012 Bentley Continental Flying Spur,552,21
Bentley,2012 Bentley Continental Flying Spur,600,30
Bentley,2011 Bentley Continental Flying Spur,600,27
Bentley,2010 Bentley Continental Flying Spur,600,27
Bentley,2010 Bentley Continental Flying Spur,552,27
