engine_size,mpg
3.2,43
2,50
2,51
2,49
2,49
3.2,43
3.2,43
4.2,31
3.6,34
2,52
2,48
3.2,43
3.5,49
3.7,44
4.4,29
4.4,29
4.4,29
4.4,29
2.9,43
2.9,43
2.9,43
2.9,43
2.9,43
2.9,43
2.9,43
2.9,46
2.9,43
5.3,31
5.3,21
5.3,30
5.3,30
4.8,20
6,20
5.3,23
5.3,30
4.3,35
4.8,33
4.3,35
4.3,35
4.3,35
4.8,33
3.7,44
3.7,44
3.7,44
2.5,50
2.5,51
2.5,51
2.5,50
6.8,24
6,22
6,22
6,22
6,31
6,21
6,30
6,27
6,27
6,27
2.5,47
2.5,48
2.5,47
2.4,50
2.5,51
2.5,51
2.5,47
2.5,50
3,44
3,44
3,44
3.2,46
4.4,37
3,40
3.2,45
2.5,51
2.5,46
2.4,51
3,39
3.2,43
3,37
3.2,45
3.2,43
3,39
3,37
3.2,38
4,40
4,39
4,39
4,40
4,39
3.2,38
4.4,35
3.2,37
4.4,32
3.2,45
2.7,41
4,40
4,39
4,39
4,40
4,39
2,51
3.5,42
2.4,52
2.4,53
2.4,52
3.5,47
2.4,53
2.4,52
2.4,53
3.7,43
3.7,43
3.7,43
3.7,43
3.7,43
3.7,43
3.7,43
3.7,43
2,51
3.7,44
3.7,44
3.7,45
3.7,44
2,51
3.7,45
3.7,44
3.7,44
3.7,45
2,52
2,50
2,52
2,50
1.6,67
1.6,67
1.6,67
1.6,75
1.6,65
1.6,65
2.5,51
2.5,50
2.5,51
2.5,50
2,48
2,52
2.4,50
2.5,47
2,50
2,50
2,53
2.4,55
2.4,55
3.5,43
2.4,55
3.5,48
2.4,55
2.4,55
1.6,67
1.6,67
1.6,65
1.6,65
2.4,53
2.4,52
2.4,53
2.4,52
2.4,53
2.4,52
2.4,53
2.4,52
3.5,48
3.5,49
3.5,49
3.7,44
3.7,44
3.7,44
3.7,44
3.5,47
3.5,47
3.5,47
2.5,55
2.5,54
2.5,55
2.5,54
3.5,49
2.5,55
2.5,54
3.5,49
2.5,54
3.5,49
2,62
2,62
2,60
2,59
2,60
2,59
2,60
2,59
2,59
2,59
2,58
2,59
2,58
2,59
2,58
2,59
2,58
2.5,54
3.5,45
3,44
3.2,49
3,40
3.2,44
3,40
3,40
3.2,44
3.2,39
3.2,39
2.5,55
3.5,45
2.5,55
2.5,54
2.5,55
2.5,54
3.5,47
2.5,55
2.5,54
3.5,47
2.5,54
3.5,47
3.2,37
3.2,38
3,37
3,39
3.2,43
2.5,46
2.5,51
6,22
6,27
6,27
2,59
2,58
2,59
2,58
6,29
6,27
6,27
6.8,24
1.8,63
1.8,60
1.8,60
1.8,63
1.8,60
6.6,33
2,50
2,46
6.7,29
6.7,29
2,52
2,50
6.7,29
2,50
2,52
2,52
3.2,45
2,48
6.7,29
6.6,33
3.5,48
6.7,29
2.4,56
2.4,57
2.4,57
2.4,57
2.4,56
2.4,57
3.5,50
2.4,57
3.5,50
6.7,29
6.7,29
6.7,29
2.5,56
2.5,55
2,52
2,52
2.5,55
2.5,55
2,58
2.5,55
2.5,56
2.5,56
2.5,56
2,58
1.8,61
1.8,60
1.8,61
1.8,60
1.8,60
1.8,60
2.4,52
2.4,52
4,39
4,35
4,38
3,47
3,44
2.5,53
2.5,53
2.5,53
2.5,52
2.5,52
2.5,53
2.5,53
2.5,52
2.5,53
2.5,52
2.5,52
2,52
2,52
2,71
2.5,53
2.5,53
2,71
4,39
